Master List of STAS Element Numbers

Version 2.0 Mon Mar 25 10:58:54 1996

=====================================================================
         RETRIEVAL FIELD NAME         |    RETRIEVAL    |    STAS   |
Nat. Occupational Survey (NOHS,NOES)  | SURV            | 2901      |
                                      |                 |           |
National Patent Classification        | NCL             | 2024      |
National Patent Classification, Main  | NCLM            | 2745      |
                                      |                 |           |
National Patent Classification, Seco  | NCLS            | 2746      |
  ndary                               |                 |           |
Naturally Occurring Source            | NATS            | 3297      |
NFPA Hazard Classification            | NFPA            | 3298      |
NIOSH Recommend.                      | NREC            | 2900      |
NMR Spectrum                          | NMRS            | 3042      |
No. of References                     | REF             | 2151      |
Non-Human Toxicity                    | NTOX            | 3299      |
Non-Human Toxicity Excerpt            | NTXE            | 3300      |
Not Available                         | NAV             | 2902      |
Note                                  | NTE             | 63        |
Notebook Reference                    | NBR             | 3369      |
Nucleic Acid                          | NA              | 2101      |
Number of Claims                      | CLMN            | 2748      |
Number of Contract                    | NC              | 2468      |
Number of Document                    | ND              | 2573      |
Number of Drawing Sheets              | PPDR            | 2585      |
Number of Pages of Specifications in  | PPSP            | 2586      |
   Application                        |                 |           |
Number of Report                      | NR              | 1027      |
OCC Table                             | OCC             | 2479      |
Occurrence Count of Element Values    |                 | 2503      |
Octanol-Water Distribution Coefficie  | LKOW            | 3301      |
  nt                                  |                 |           |
Odor                                  | ODOR            | 3303      |
Odor Threshold                        | OT              | 3304      |
OG Issue Date for Expiration Announc  | XPG             | 3092      |
  ement                               |                 |           |
OG Issue Date for Extension Announce  | XTG             | 3093      |
  ment                                |                 |           |
OG Issue Date for Reinstatement Anno  | RIG             | 3094      |
  uncement                            |                 |           |
OHMTADS Number                        | OTN             | 3305      |
Optical Rotatory Power                | ORP             | 3046      |
Optical Rotatory Power (Derivative)   | ORP.DRV         | 3195      |
Optical Rotatory Power Spectral Line  | ORP.SL          | 3216      |
Order Number                          | ON,GA           | 2787      |
Organism Name                         | ORGN            | 2104      |
Organization, Division                | CS.DIV          | 2575      |
Organization, Name                    | CS.ORG          | 2576      |
Origin                                | SRT             | 3081      |
Originator                            | ORIGINATOR      | 2749      |
OSHA Standards for Highly Hazardous   | OSHA,HHC        | 2906      |
  Chemicals                           |                 |           |
Other Chemical/Physical Properties    | OCPP            | 3198      |
Other Chemical/Physical Properties (  | OCPP.DRV        | 3199      |
  Derivative)                         |                 |           |
Other Hazards                         | OHAZ            | 3306      |
Other Occupation Permissible Levels   | OPEL            | 3307      |
Other Preventive Measures             | OPRM            | 3308      |
Other Reference                       | REN(OREF)       | 2556      |
Other Source                          | OS              | 2026      |
Other Source, Patent Number           | OSPN            | 2814      |
Other Sources, Document Delivery      | OS.DD           | 3347      |
Overlap Detection Date                | ODD             | 3370      |
Page Number                           | PGNO            | 2574      |
Paragraph                             | PARA            | 3371      |
Parent Case Data                      | PARN            | 2589      |
Patent Application Date               | AD(FD)          | 2028      |
Patent Application Information        | AI              | 2044      |
Patent Application Number             | AP              | 2029      |
Patent Assignee                       | PA              | 2577      |
Patent Assignee Address               | PAA             | 2816      |
Patent Assignee City                  | PA.CTY          | 2804      |
Patent Assignee Code                  | PACO            | 2751      |
Patent Assignee Country               | PA.CNY          | 2805      |
Patent Assignee State                 | PA.ST           | 2806      |
Patent Assignee Type                  | PAT             | 2808      |
Patent Assignee ZIP Code              | PA.ZIP          | 2807      |
Patent Assignee, Original             | PAO             | 3095      |
Patent Information                    | PI              | 2043      |
Patent Number                         | PN              | 2033      |
Patent Reference Information          | REP             | 2752      |
PCT 102(e) Date                       | E102            | 2587      |
PCT 371 Date                          | D371            | 2588      |
PCT Filing Date                       | PTFD            | 2519      |
PCT Number                            | PTAN(PCT)       | 2520      |
PCT Publication Date                  | PTPD            | 2523      |
PCT Publication Number                | PTPN            | 2522      |
Performing Organization               | CSP             | 3085      |
Period Covered                        | PER             | 3372      |
Personal Safety Precautions           | PSP             | 3309      |
pH Value                              | PHV             | 3310      |
Pharmacological Activity Code         | PHCD            | 2753      |
Polymer Class Term                    | PCT             | 2108      |
Polymerization                        | POLY            | 3312      |
Preferred Propery Name                | PPN             | 3343      |
Preferred Registry Number             | PR              | 2152      |
Premanufacture Notice                 | PMN(5A1)        | 2908      |
Premanufacture Notice Number          | PMNN(5A1N)      | 2909      |
Primary Examiner                      | XP              | 2557      |
Prior Accident History                | PAH             | 3313      |
Priority Country                      | PRC             | 2034      |
Priority Date                         | PRD             | 2035      |
Priority Information                  | PRAI            | 2045      |
Priority Number                       | PRN             | 2036      |
Priority Year                         | PRY             | 2037      |
Probable Exposure                     | PBEX            | 3314      |
Probable Route of Human Exposure      | RTEX            | 3315      |
Project Number                        | PRJ             | 3374      |
Property Table Issue Date             | PTID            | 2911      |
Property Table Revision Date          | PTRD            | 2912      |
Publication/Issue Date                | PD              | 31        |
Publication/Issue Year                | PY              | 2038      |
Publisher                             | PB              | 1018      |
Qualifier                             | QLF             | 2695      |
Radiation Limit                       | RADL            | 3316      |
Radius of Gyration                    | RG              | 2915      |
Raman Spectra                         | RAS             | 3050      |
Raw Undefined ASCII Text              |                 | 2470      |
RCRA Requirements                     | RCRA            | 3317      |
Reaction                              | RX(RX(n))       | 2918      |
Reaction Graphics                     | RXG (RXG(n))    | 2919      |
Reaction Group                        | RXNGROUP        | 3348      |
Reaction Long                         | RXL(RXL(n))     | 2920      |
Reaction Summaries                    | RXS (RXS(n))    | 2921      |
Reaction, Single Step                 | SSRX (SSRX(n))  | 2922      |
Reactivity and Incompatibility        | REAC            | 3318      |
Reassignment Address                  | RAA             | 3096      |
Reassignment Company                  | RAC             | 3098      |
Reassignment Date                     | RAD             | 3099      |
Reassignment Information              | RAI             | 3097      |
Reassignment Kind                     | RAK             | 3100      |
Record Number                         |                 | 2502      |
Reexamination Certificate Date        | RXD             | 3102      |
Reexamination Number                  | RXN             | 3215      |
Reexamination Request Date            | RRD             | 3101      |
Reexamination Requestor               | RXR             | 3104      |
Reference Author                      | RAU             | 2755      |
Reference Count                       | REC             | 2756      |
Reference Page Number                 | RPG             | 2758      |
Reference Patent Classification       | RPCL            | 2759      |
Reference Patent Country              | RPC             | 2760      |
Reference Patent Inventor             | RPIN(RIN)       | 2775      |
Reference Patent IPC                  | RPIC            | 2809      |
Reference Patent Number               | RPN             | 2763      |
Reference Patent Pub. Date            | RPD             | 2764      |
Reference Pub. Year                   | RPY             | 2765      |
Reference Volume                      | RVL             | 2766      |
Reference Work                        | RWK             | 2767      |
References (Derivative)               | RE.DRV          | 3200      |
References and Footnotes              | RE              | 2488      |
Refractive Index                      | RI              | 2924      |
Refractive Index (Derivative)         | RI.DRV          | 3201      |
Registry Number and Structure         | RNGROUP         | 2683      |
Registry Number Locator               | LC              | 2109      |
Registry Number Qualifier             | REGQ            | 2697      |
Regulatory List No.                   | RLN(EPN)        | 2927      |
Reinstatement Date                    | RID             | 3105      |
Reissue Information                   | REI             | 2590      |
Related App. Patent Issue Year        | RLPY            | 2819      |
Related Application Country           | RLC             | 2769      |
Related Application Filing Year       | RLY             | 2772      |
Related Application Information       | RLI             | 2768      |
Related Application Information       | REL             | 2591      |
Related Application Patent Number     | RLPN            | 2530      |
Related Application Type              | RLT             | 2771      |
Related ApplicationNumber             | RLAN(RLN)       | 2528      |
Related CAS Reg. No                   | XRN             | 2928      |
Related Terms                         | RT              | 3108      |
Relative Vaporization Rate            | RVAP            | 3319      |
Replacing Registry Number             | RR              | 2153      |
Report of Volume, Exposure, etc.      | 8A(REP)         | 2929      |
Reproductive Data                     | REP             | 2930      |
Research Front                        | RF              | 2777      |
Research Front Weight                 | RFWT            | 2778      |
Research Front Word                   | RFW             | 2779      |
Revision Date                         | RDAT            | 2780      |
Revision Note                         | RNTE            | 2781      |
Ring System Data                      | RSD             | 2118      |
Risk May Be Unreasonable              | 4F(RIS)         | 2931      |
Route                                 | RTE             | 2932      |
RTECS Number                          | RTN             | 2933      |
Sampling Procedure                    | SAMP            | 3321      |
Second Virial Coeff                   | SVC             | 2935      |
Section Cross-Reference               | SX              | 2039      |
Section Title                         | SCT,SC          | 2501      |
Sequence (1 BYTE DISPLAY)             | SEQ             | 2154      |
Sequence (3 BYTE DISPLAY)             | SEQ3            | 2155      |
Sequence Length                       | SQL             | 2126      |
Server Query Expression               |                 | 2009      |
Shipping                              | SHIP            | 3322      |
Short Chemical Name                   | SCN             | 2156      |
Short Ring System Data                | SRSD            | 2127      |
Significant New Use Rule              | SNU,5A2,RSNU    | 2937      |
Soil Adsorption/Mobility              | KOC             | 3323      |
Soil Standard                         | SSTD            | 3324      |
Solubility                            | SLB             | 3056      |
Solubility Paramet.                   | SOLP            | 2938      |
Source                                | SO              | 2040      |
Source Code for Notebook Reference    | SRC             | 3376      |
Source of Registration                | SR              | 2157      |
Special Feature                       | FEAT            | 2940      |
Special Report                        | RPTS            | 3325      |
Specific Gravity                      | SPGR            | 3059      |
Specific Gravity (Derivative)         | SPGR.DRV        | 3205      |
Specific Polymer Number               | SPN             | 3377      |
Spectral Properties                   | SPECT           | 3327      |
Staff                                 | SF              | 3086      |
Stage                                 | STG             | 2941      |
Standards and Regulations             | SREG            | 2926      |
State of N.J. Right to Know           | SNJ             | 2942      |
State of Penn.                        | SPA             | 2943      |
Status                                | STA             | 2785      |
Status Date                           | STAD            | 3072      |
Stereo Message                        |                 | 2674      |
Stereochemistry                       | STE             | 2698      |
Storage                               | STRG            | 3328      |
Structure Diagram Flat                | STF             | 2158      |
Structure Diagram Stereo              | STS             | 2160      |
Structure Diagram Stereo Plus T and   | STR             | 2159      |
  S Descriptors                       |                 |           |
Studies on Toxicity /Exposure         | STY             | 2944      |
Subject                               | SUBJ            | 2500      |
Subject-uncontrolled                  | UT              | 3021      |
Sublimation Point                     | SP              | 3178      |
Substance Class Identifier            | CI              | 2134      |
Substance Element Ratio, E1E2         | SUB ELR.E1E2.   | 2028-2667 |
Substance Interaction                 | INTC            | 3329      |
Substance Text Descriptor             | DES             | 2148      |
Substantial Risk Report               | 8E(SRR)         | 2946      |
Substituent                           | SUB             | 2699      |
Summary                               | SUM(BSUM SUMM), | 2592      |
Summary Language                      | SL              | 2716      |
Superfund Amendment Reauthorization   | S110            | 2947      |
  Act -Section 110                    |                 |           |
Superfund Amendment Reauthorization   | S313            | 2948      |
  Section 313                         |                 |           |
Supplementary Material                | SM              | 2489      |
Supplementary Term                    | ST              | 2047      |
Supplementary Term Plus               | STP             | 2786      |
Supplementary Terms in German         | STDE            | 3073      |
Surface Tension                       | ST              | 2949      |
Synonym                               | SYN             | 3378      |
System Number                         | SN              | 2951      |
Table Title                           | TT              | 2490      |
Taste                                 | TASTE           | 3331      |
Term of Patent                        | PTERM (TERM)    | 2593      |
Test Rule - TSCA Section 4A           | 4A(TES)         | 2952      |
Test Status                           | TSTA            | 3332      |
Test System                           | SYS             | 2953      |
Text                                  | TX              | 1010      |
Text Modification                     | TMD             | 2700      |
Therapeutic Use                       | THER            | 3208      |
Therapeutic Use - Veterinary          | VTHER           | 3209      |
Thermal Conduct.                      | TCND            | 2954      |
Thresh. Limit Value                   | TLV             | 2956      |
Ticker Symbol                         | TICK            | 2710      |
Title                                 | TI              | 4         |
Toxic Combustion Product              | TCP             | 3333      |
Toxic Hazard Rating                   | TXHR            | 3334      |
Toxicity Data                         | TOX             | 2960      |
Toxicity Data (Derivative)            | TOX.DRV         | 3210      |
Toxicology Review                     | TREV            | 2961      |
Trade Name                            | TN              | 2962      |
Trade Name Classification             | TNC             | 2789      |
Transfer of Juris.- TSCA Section 9    | TRA             | 2963      |
Triple Point                          | TP              | 2964      |
Triple Point Press.                   | TPP             | 2965      |
TSCA Requirements                     | TSCA            | 3335      |
Tumorigenic Data                      | TUM             | 2967      |
Type of Derivative                    | TYP.DRV         | 3211      |
Type of Study                         | STY             | 2968      |
U.S. Manufacture                      | USPR            | 3336      |
U.S. Patent Reference                 | UREF            | 2553      |
Uniterm                               | UN              | 2790      |
Uniterm Registry Number               | URN             | 2791      |
Unpublished Report of Health/Safety   | 8D(UNP)         | 2970      |
  Studies                             |                 |           |
Unreasonable Risk- TSCA Section 6     | UNR             | 2971      |
Used For Term                         | UF              | 3109      |
UV and Visible Spectrum               | UVS             | 3061      |
UVCB Chemical Category                | UVC,UVCB        | 2969      |
UVS Spectrum (Derivative)             | UVS.DRV         | 3212      |
van der Waals Area                    | VWA             | 2981      |
van der Waals Volume                  | VWV             | 2982      |
Vapor Pressure                        | VP              | 2972      |
Vector Graphics Image (CGM format)    |                 | 2495      |
Viscosity                             | VS              | 2974      |
Volatization from Water/Soil          | VWS             | 3340      |
Volume                                | VL              | 2491      |
Warnings                              | WARN            | 3214      |
Wildlife Toxicity                     | WLTX            | 3341      |
Wiswesser Line Not.                   | WLN             | 2976      |
Word Count                            | WC              | 2711      |
Zip Code                              | ZP              | 2794      |
