Master List of STAS USE Attributes

Version 2.0 Mon Mar 25 10:58:51 1996

================================================================================
            SEARCH FIELD NAME         |      SEARCH     | Z39.50   |   Z39.50  |
Crystal Transition Point              | CTP             |          | 3110      |
Crystal Transition Point Pressure     | CTP.P           |          | 3132      |
Current Class.- Original              | COR(OR)         |          | 2544      |
Current Class.- Range Srch.           | CCLST           |          | 2542      |
Current Class.- Unofficial X-ref.     | CUX(CUR, UR,UX) |          | 2547      |
Current Class.- X-ref. Range Srch     | CXRT            |          | 2545      |
Current Class.- X-reference           | CXR(XR)         |          | 2546      |
Current Class.-Orig Range Srch        | CORT            |          | 2543      |
Current Classification                | CCLS(CLS)       |          | 2541      |
Current Classification Class          | CLAS            |          | 2551      |
Date                                  | DATE            |          | 2842      |
Date-record-status                    |                 |          | 3000      |
Decomposition                         | DCMP            |          | 3253      |
Definition                            | DEF             |          | 2056      |
Density                               | DEN             |          | 3034      |
Density Temperature                   | DEN.T           |          | 3035      |
Department                            | DPT             |          | 3360      |
Designated States                     | DS              |          | 2012      |
Development Status                    | DSTA            |          | 2728      |
Dipole Moment                         | DM              |          | 2843      |
Disclaimer Date                       | DD              |          | 2517      |
Disposal Method                       | DSM             |          | 3254      |
Dissertation-information              |                 |          | 3001      |
Dissociation Constant                 | DISK            |          | 3255      |
Dissociation Constant Text            | DISK.TX         |          | 3256      |
Document Number                       | DN              |          | 2484      |
Document Type                         | DT(TC)          |          | 2013      |
Dose Form                             | DOSFM           |          | 3077      |
Dose Information                      | DOSE            |          | 2844      |
Dose Information (Derivative)         | DOSE.DRV        |          | 3186      |
DOT Emergency Guideline               | DOTG            |          | 3257      |
Drug Idiosyncrasy                     | IDIO            |          | 3258      |
Drug Tolerance                        | TOLR            |          | 3259      |
DUNS Number                           | DUNS            |          | 2708      |
DuPont Compound Number                | CNUM            |          | 3361      |
DuPont Name                           | DUP             |          | 3362      |
Duration                              | DUR             |          | 2845      |
Duration Begin, Year                  | DBY             |          | 3082      |
Duration End, Year                    | DEY             |          | 3083      |
Duration Note                         | DUN             |          | 3084      |
Dynamic Viscosity                     | DV              |          | 3133      |
Dynamic Viscosity Temperature         | DV.T            |          | 3134      |
Dynamic Viscosity Text                | DV.TX           |          | 3260      |
East Longitude                        | ELON            |          | 2729      |
Effect                                | EFF             |          | 2847      |
Element Count                         | ELC             |          | 2057      |
Element Count (for each element)      |                 |          | 2161-2464 |
Element Count for Substance           | ELC.SUB         |          | 2058      |
Element Formula                       | ELF             |          | 2059      |
Element Symbol                        | ELS             |          | 2072      |
Element Symbol for Multi-component F  | ELS.MCF         |          | 2073      |
  ormula                              |                 |          |           |
Element Terms ET                      |                 |          | 3027      |
Elemental Analysis for the Ring Syst  | EA              |          | 2074      |
  em                                  |                 |          |           |
Elemental Analysis of Smallest Ring   | EAS             |          | 2075      |
Elemental Sequence of Ring System     | ES              |          | 2077      |
Elemental Sequence of Smallest Ring   | ESS             |          | 2076      |
EMAIL Address                         | EML             |          | 3363      |
Enthalpy                              | HREF            |          | 3111      |
Enthalpy Function                     | HFNC            |          | 3135      |
Enthalpy Function Temperature         | HFNC.T          |          | 3136      |
Enthalpy of Combustion                | HCOM            |          | 2848      |
Enthalpy of Combustion Pressure       | HCOM.P          |          | 3137      |
Enthalpy of Combustion Temperature    | HCOM.T          |          | 3138      |
Enthalpy of Combustion Text           | HCOM.TX         |          | 3264      |
Enthalpy of Formation                 | HFOR            |          | 2849      |
Enthalpy of Formation Temperature     | HFOR.T          |          | 3113      |
Enthalpy of Fusion                    | HFUS            |          | 2850      |
Enthalpy of Fusion Pressure           | HFUS.P          |          | 3139      |
Enthalpy of Fusion Temperature        | HFUS.T          |          | 3140      |
Enthalpy of Fusion-Temperature Deriv  | DHFDT           |          | 3141      |
  ative                               |                 |          |           |
Enthalpy of Fusion-Temperature Deriv  | DHFDT.P         |          | 3142      |
  ative Pressure                      |                 |          |           |
Enthalpy of Fusion-Temperature Deriv  | DHFDT.T         |          | 3143      |
  ative Temperature                   |                 |          |           |
Enthalpy of Phase Transition          | HPT             |          | 3144      |
Enthalpy of Phase Transition Pressur  | HPT.P           |          | 3145      |
  e                                   |                 |          |           |
Enthalpy of Phase Transition Tempera  | HPT.T           |          | 3146      |
  ture                                |                 |          |           |
Enthalpy of Phase Transition-Tempera  | DHTDT           |          | 3147      |
  ture Derivative                     |                 |          |           |
Enthalpy of Phase Transition-Tempera  | DHTDT.P         |          | 3148      |
  ture Derivative Pressure            |                 |          |           |
Enthalpy of Phase Transition-Tempera  | DHTDT.T         |          | 3149      |
  ture Derivative Temperature         |                 |          |           |
Enthalpy of Sublimation               | HSUB            |          | 3150      |
Enthalpy of Sublimation Pressure      | HSUB.P          |          | 3151      |
Enthalpy of Sublimation Temperature   | HSUB.T          |          | 3152      |
Enthalpy of Sublimation-Temperature   | DHSDT           |          | 3153      |
  Derivative                          |                 |          |           |
Enthalpy of Sublimation-Temperature   | DHSDT.P         |          | 3154      |
  Derivative Pressure                 |                 |          |           |
Enthalpy of Sublimation-Temperature   | DHSDT.T         |          | 3155      |
  Derivative Temperature              |                 |          |           |
Enthalpy of Vaporization              | HVAP            |          | 2852      |
Enthalpy of Vaporization Pressure     | HVAP.P          |          | 3156      |
Enthalpy of Vaporization Temp         | HVAP.T          |          | 2851      |
Enthalpy of Vaporization-Temperature  | DHVDT           |          | 3158      |
   Derivative                         |                 |          |           |
Enthalpy of Vaporization-Temperature  | DHVDT.P         |          | 3159      |
   Derivative Pressure                |                 |          |           |
Enthalpy of Vaporization-Temperature  | DHVDT.T         |          | 3160      |
   Derivative Temperature             |                 |          |           |
Enthalpy of Vaprization Text          | HCOM.TX         |          | 3265      |
Enthalpy Temperature                  | HREF.T          |          | 3112      |
Entropy                               | SREF            |          | 2853      |
Entropy of Fusion                     | SFUS            |          | 3161      |
Entropy of Fusion Pressure            | SFUS.P          |          | 3162      |
Entropy of Fusion Temperature         | SFUS.T          |          | 3163      |
Entropy of Phase Transition           | SPT             |          | 3164      |
Entropy of Phase Transition Pressure  | SPT.P           |          | 3165      |
Entropy of Phase Transition Temperat  | SPT.T           |          | 3166      |
  ure                                 |                 |          |           |
Entropy of Sublimation                | SSUB            |          | 3167      |
Entropy of Sublimation Pressure       | SSUB.P          |          | 3168      |
Entropy of Sublimation Temperature    | SSUB.T          |          | 3169      |
Entropy of Vaporization               | SVAP            |          | 3170      |
Entropy of Vaporization Pressure      | SVAP.P          |          | 3171      |
Entropy of Vaporization Temperature   | SVAP.T          |          | 3172      |
Entropy Temperature                   | SREF.T          |          | 3114      |
Entry Date                            | ED              |          | 2014      |
Entry Month                           | EM              |          | 2466      |
Entry Year                            | EY              |          | 2705      |
Environmental Fate                    | ENVF            |          | 3261      |
Environmental Fate/Exposure Summary   | ENVS            |          | 3262      |
EPA Action on Rule Violation          | VIO             |          | 2846      |
EPA Hazard Waste Number               | HZN             |          | 3263      |
Examiner Name                         | EXNAM           |          | 2730      |
Exemplary Claim                       | ECLM            |          | 2731      |
Exemption from PMN                    | 5H(EXM)         |          | 2854      |
Expiration Date                       | XPD             |          | 3088      |
Explosiveness                         | EXPL            |          | 3266      |
Exports                               | EXPT            |          | 3267      |
Exports Text                          | EXPT.TX         |          | 3268      |
Exports Year                          | EXPT.YR         |          | 3269      |
Extension Date                        | XTD             |          | 3089      |
Family Member Country                 | FC              |          | 2733      |
Family Member Date                    | FD              |          | 2734      |
Family Member Number                  | FN              |          | 2735      |
Family Member Year                    | FY              |          | 2736      |
Family Name                           | FN              |          | 2855      |
FDA Requirements                      | FDA             |          | 3270      |
Field Availability                    | FA              |          | 2015      |
Field of Search Classification        | EXF(FS)         |          | 2552      |
FIFRA Requirement                     | FIFRA           |          | 3271      |
File                                  | FILE            |          | 3345      |
File Segment                          | FS              |          | 2078      |
Fire Fighting Hazard                  | FFH             |          | 3272      |
Fire Fighting Procedure               | FIRP            |          | 3273      |
Fire Potential                        | FPOT            |          | 3274      |
Flammability                          | FLAM            |          | 3275      |
Flammability Limit, Lower             | FLAM.LL         |          | 2856      |
Flammability Limit, Upper             | FLAM.UL         |          | 2857      |
Flash Point                           | FP              |          | 2858      |
Flash Point Text                      | FP.TX           |          | 3276      |
Food Survey Value                     | FOOD            |          | 3277      |
Foreign Patent Reference              | FREF            |          | 2554      |
Foreign Reference Issue Date          | FRPD            |          | 2555      |
Formula Weight                        | FW(MW)          |          | 2079      |
Fragment Code, IFI                    | FG              |          | 2738      |
Functional Group Formed               | FG.FORM         |          | 2859      |
Functional Group in Products          | FG.PRO          |          | 2862      |
Functional Group in Reactant, Produc  | FG              |          | 2863      |
  t or Catalyst                       |                 |          |           |
Functional Group in Reactants         | FG.RCT          |          | 2864      |
Functional Group in Reagents          | FG.RGT          |          | 2865      |
Functional Group Non-reacting         | FG.NON          |          | 2860      |
Functional Group Reacting             | FG.RXN          |          | 2861      |
GenBank Accession Number              | GBN             |          | 3079      |
Gene Name                             | GEN             |          | 2080      |
General Polymer Number                | GPN             |          | 3364      |
Geographic Term                       | GT              | 58       |           |
Gibbs Energy Function                 | GEF             |          | 3115      |
Gibbs Energy Function Temperature     | GEF.T           |          | 3116      |
Gibbs Energy of Formation             | GFOR            |          | 2866      |
Gibbs Energy of Formation Temperatur  | GFOR.T          |          | 3117      |
  e                                   |                 |          |           |
Glass Temperature                     | TG              |          | 3173      |
Glass Temperature Pressure            | TG.P            |          | 3174      |
Government Interest                   | GOVI(GI)        |          | 2561      |
Hazard Summary                        | HAZS            |          | 3278      |
Heading Parent                        | HP              |          | 2081      |
Health Advisory                       | HA              |          | 2868      |
Heat Capacity at Const. Press.        | CP              |          | 2869      |
Heat Capacity at Const. Press. Temp   | CP.T            |          | 2870      |
Heat Capacity at Saturation           | CSAT            |          | 3175      |
Heat Capacity at Saturation Temperat  | CSAT.T          |          | 3176      |
  ure                                 |                 |          |           |
Highest Development Phase             | HDP             |          | 2871      |
Hit Count                             | HIT.CNT         |          | 3349      |
HODOC Number                          | HN              |          | 3036      |
HSDB Number                           | HSN             |          | 3281      |
Human Toxicity                        | HTOX            |          | 3279      |
Human Toxicity Excerpt                | HTXE            |          | 3280      |
Imminently Hazard.-TSCA Sec. 7        | IMM             |          | 2872      |
Import-Export Reg.                    | IER             |          | 2873      |
Imports                               | IMPT            |          | 3282      |
Imports Text                          | IMPT.TX         |          | 3283      |
Imports Year                          | IMPT.YR         |          | 3284      |
Impurities                            | IMP             |          | 3285      |
Index Name Segment - Heading Parent   | INS.HP          |          | 2082      |
Index Name Segment - Non-heading Par  | INS.NHP         |          | 2083      |
  ent                                 |                 |          |           |
Index Term                            | IT              |          | 2046      |
Information Provider                  | IP              |          | 3068      |
Informational Classification          | I               |          | 2572      |
Ingestion Level                       | INGL            |          | 3286      |
Insufficient Data Order               | 5E(INS)         |          | 2874      |
Int. Patent Classification            | IPC             |          | 2535      |
Interagency Testing Comm. Candidate   | ICC             |          | 2876      |
Interagency Testing Committee         | ITC(4E)         |          | 2877      |
International Research Program        | IRP             |          | 2739      |
International Standard (Document) Nu  | ISN             |          | 2672      |
  mber                                |                 |          |           |
Inventor City                         | IN.CTY (INCI)   |          | 2507      |
Inventor Country                      | IN.CNY          |          | 2797      |
Inventor Country Code or ZIP          | INCO            |          | 2509      |
Inventor Name                         | IN(INV)         |          | 2506      |
Inventor Name (non-standard format)   | INF             |          | 2740      |
Inventor State                        | IN.ST(INST)     |          | 2508      |
Inventor ZIP Code                     | IN.ZIP          |          | 2799      |
Inventory Status                      | INV             |          | 2878      |
Inventory Status Text                 | INVT            |          | 2879      |
IPC                                   | IC              |          | 2016      |
IPC Main Group                        | MGR             |          | 2021      |
IPC Subgroup Range-Searchable         | SGR             |          | 2022      |
IPC, Additional                       | ICA             |          | 2017      |
IPC, Index                            | ICI             |          | 2018      |
IPC, Main                             | ICM             |          | 2019      |
IPC, Secondary                        | ICS             |          | 2020      |
IR Spectrum Peak Position             | IRS.PP          |          | 3038      |
Irritation Data                       | IRR             |          | 2880      |
ISBN                                  | ISBN            | 7        |           |
Issue                                 | IS(ISSUE)       |          | 2485      |
Issue Class. - Cross Reference and D  | IXR             |          | 2539      |
  igest-reference                     |                 |          |           |
Issue Class. - Original               | IOR             |          | 2538      |
Issue Class. Range Searchable         | ICLST           |          | 2537      |
Issue Classification                  | ICLS            |          | 2536      |
Issue National Pat. Classification    | INCL            |          | 2800      |
JANAF Number                          | JN              |          | 3118      |
Journal Title                         | JT              |          | 2467      |
Journal Title Code                    | JTC             |          | 2471      |
Keyword                               | KEY             |          | 2563      |
Language                              | LA              | 54       |           |
Launch Country                        | LNC             |          | 2883      |
Launch Date                           | LND             |          | 2884      |
Launch Package/Price                  | LNP             |          | 3078      |
Launch Year                           | LNY             |          | 2741      |
Left Boundary                         | LB              |          | 2742      |
Lethal Conc. 50 ,Vapor                | LC50V           |          | 2886      |
Lethal Conc. 50, Aerosol              | LC50A           |          | 2885      |
Lethal Conc. Low, Aerosol             | LCLOA           |          | 2887      |
Lethal Conc. Low, Vapor               | LCLOV           |          | 2888      |
Lethal Dose 50                        | LD50            |          | 2889      |
Lethal Dose 50 (Derivative)           | LD50.DRV        |          | 3187      |
Lethal Dose Low                       | LDLO            |          | 2890      |
Level                                 | LV              |          | 3106      |
Librarylogogram                       | SG              |          | 3074      |
Line Count                            | LN.CNT          |          | 2803      |
Linear Structural Formula             | LSF             |          | 2891      |
Linear Structural Formula (Derivativ  | LSF.DRV         |          | 3188      |
  e)                                  |                 |          |           |
Linked Terms                          | LT              |          | 2703      |
Liquid Transition Point               | LTP             |          | 3119      |
Location[Corporate]                   | LO              |          | 2023      |
Locus                                 | LOC             |          | 3080      |
Logarithm of the Equilibrium Constan  | LOGK            |          | 3120      |
  t of Formation                      |                 |          |           |
Logarithm of the Equilibrium Constan  | LOGK.T          |          | 3121      |
  t of Formation Temperature          |                 |          |           |
Major Populations Threatened          | MPT             |          | 3287      |
Manuscript Date                       | MS              |          | 2486      |
Mass Spectrum Peak Intensity          | MS.IN           |          | 3040      |
Mass Spectrum Peak Position           | MS.PP           |          | 3041      |
Material Composition                  | MAC             |          | 2084      |
Material Composition (Derivative)     | MAC.DRV         |          | 3189      |
Maximum Allowable Concentration       | MACC            |          | 3288      |
Maximum Allowable Concentration, Aer  | MAC30A          |          | 3289      |
  osol                                |                 |          |           |
Maximum Allowable Concentration, Vap  | MAV30V          |          | 3290      |
  or                                  |                 |          |           |
Maximum Drug Dose                     | MXDD            |          | 3291      |
Medical Surveillance                  | MEDS            |          | 3292      |
Meeting Date                          | MD              |          | 2713      |
Meeting Location                      | ML              |          | 3009      |
Meeting Number                        | MN              |          | 3069      |
Meeting Year                          | MY              |          | 2714      |
Meeting-organizer                     |                 |          | 3002      |
Melting Point                         | MP              |          | 2893      |
Melting Point (Derivative)            | MP.DRV          |          | 3190      |
Melting Point Pressure                | MP.P            |          | 3177      |
Melting Point Pressure (Derivative)   | MP.P.DRV        |          | 3191      |
Melting Point Text                    | MP.TX           |          | 3293      |
Merck Index Name                      | MIN             |          | 3219      |
Merck Number                          | MNO             |          | 3218      |
Metabolism-Metabolite                 | METB            |          | 3294      |
Method of Manufacture                 | MMFG            |          | 3295      |
Microform Frame Number                | MFN             |          | 3091      |
Microform Reel Number                 | MRN             |          | 3090      |
Minimum Fatal Dose                    | MFD             |          | 3296      |
Miscellaneous Regulation              | MISC            |          | 2894      |
Molar Density                         | MDEN            |          | 2895      |
Molar Density Temp.                   | MDEN.T          |          | 2896      |
Molar Volume                          | MVOL            |          | 2897      |
Molecular Formula                     | MF              |          | 2085      |
Molecular Formula (Derivative)        | MF.DRV          |          | 3192      |
Molecular Formula (no components)     | MFNC.SUB        |          | 2669      |
Molecular Formula (no components, no  | MF.SUB          |          | 2668      |
   coefficients)                      |                 |          |           |
Molecular Weight (Derivative)         | MW.DRV          |          | 3193      |
Name Identifier Number                | NID             |          | 3368      |
Named Person                          | NA              | 1002     |           |
Nat. Occupational Survey (NOHS,NOES)  | SURV            |          | 2901      |
                                      |                 |          |           |
National Patent                       | NCLR            |          | 2025      |
National Patent Classification        | NCL             |          | 2024      |
National Patent Classification, Main  | NCLM            |          | 2745      |
                                      |                 |          |           |
National Patent Classification, Seco  | NCLS            |          | 2746      |
  ndary                               |                 |          |           |
Naturally Occurring Source            | NATS            |          | 3297      |
NFPA Hazard Classification            | NFPA            |          | 3298      |
NIOSH Recommend.                      | NREC            |          | 2900      |
NMR Spectrum Nucleus                  | NMRS.NUC        |          | 3043      |
NMR Spectrum Solvent                  | NMRS.SOL        |          | 3045      |
NMR Spectrum Spectrum Peak Position   | NMRS.PP         |          | 3044      |
No. of Occurrences                    | EA.CNT          |          | 2086      |
No. of Occurrences of EAS in a Ring   | EAS.CNT         |          | 2087      |
  System                              |                 |          |           |
No. of Occurrences of ES in a Compon  | ES.CNT          |          | 2088      |
  ent                                 |                 |          |           |
No. of Occurrences of ESS in a Ring   | ESS.CNT         |          | 2089      |
  System                              |                 |          |           |
No. of Occurrences of REL in a Ring   | REL.CNT         |          | 2090      |
  System                              |                 |          |           |
No. of Occurrences of RF in a Compon  | RF.CNT          |          | 2092      |
  ent                                 |                 |          |           |
No. of Occurrences of RID in a Compo  | RID.CNT         |          | 2091      |
  nent                                |                 |          |           |
No. of Occurrences of SZ in a Compon  | SZ.CNT          |          | 2094      |
  ent                                 |                 |          |           |
No. of Occurrences of SZS in a Ring   | SZS.CNT         |          | 2093      |
  System                              |                 |          |           |
No. of References in CA File          | REF.CA          |          | 2676      |
No. of References in CA File for Non  | REF.CAD         |          | 2677      |
  -specific Derivs.                   |                 |          |           |
No. of References in CAOld File       | REF.CAO         |          | 2678      |
No. of References in CAplus File      | REF.CAPLUS      |          | 3031      |
No. of References inCApreviews File   | REF.CAP         |          | 2679      |
No. of Ring Systems                   | NRS             |          | 2096      |
No. of Ring Sytems in a Component     | CNRS            |          | 2095      |
No. of Rings                          | NR              |          | 2097      |
No. of Rings in a Component           | CNR             |          | 2099      |
No. of Rings in a Ring System         | NRRS            |          | 2098      |
Non-Human Toxicity                    | NTOX            |          | 3299      |
Non-Human Toxicity Excerpt            | NTXE            |          | 3300      |
NonProduct                            | NPRO            |          | 2903      |
North Latitude                        | NLAT            |          | 2747      |
Note                                  | NTE             | 63       |           |
Notebook Reference                    | NBR             |          | 3369      |
Nucleic Acid                          | NA              |          | 2101      |
Nucleic Acid Count                    | NA.CNT          |          | 2102      |
Number of Claims                      | CLMN            |          | 2748      |
Number of Components                  | NC              |          | 2103      |
Number of Contract                    | NC              |          | 2468      |
Number of Document                    | ND              |          | 2573      |
Number of Report                      | NR              | 1027     |           |
Number of Steps                       | NS              |          | 2905      |
Number-local-accounting               |                 |          | 3004      |
Number-local-acquisition              |                 |          | 3005      |
Number-local-call-copy-specific       |                 |          | 3006      |
Number-norm                           |                 |          | 3007      |
Number-volume                         |                 |          | 3008      |
Octanol-Water Distribution Coefficie  | LKOW            |          | 3301      |
  nt                                  |                 |          |           |
Octanol-Water Distribution Coefficie  | LKOW.TX         |          | 3302      |
  nt Text                             |                 |          |           |
Odor                                  | ODOR            |          | 3303      |
Odor Threshold                        | OT              |          | 3304      |
OG Issue Date for Expiration Announc  | XPG             |          | 3092      |
  ement                               |                 |          |           |
OG Issue Date for Extension Announce  | XTG             |          | 3093      |
  ment                                |                 |          |           |
OG Issue Date for Reinstatement Anno  | RIG             |          | 3094      |
  uncement                            |                 |          |           |
OHMTADS Number                        | OTN             |          | 3305      |
Optical Rotatory Power                | ORP             |          | 3046      |
Optical Rotatory Power (Derivative)   | ORP.DRV         |          | 3195      |
Optical Rotatory Power Solvent        | ORP.SOL         |          | 3047      |
Optical Rotatory Power Spectral Line  | ORP.SL          |          | 3216      |
Optical Rotatory Power Spectral Line  | ORP.SL.DRV      |          | 3196      |
   (Derivative)                       |                 |          |           |
Optical Rotatory Power Temperature    | ORP.T           |          | 3048      |
Optical Rotatory Power Temperature (  | ORP.T.DRV       |          | 3197      |
  Derivative)                         |                 |          |           |
Optical Rotatory Power Wavelength     | ORP.W           |          | 3049      |
OR Classifications                    | OR              |          | 2570      |
Order Number                          | ON,GA           |          | 2787      |
Organism Name                         | ORGN            |          | 2104      |
Organism Name (Derivative)            | ORGN.DRV        |          | 3194      |
OSHA Standards for Highly Hazardous   | OSHA,HHC        |          | 2906      |
  Chemicals                           |                 |          |           |
Other Chemical/Physical Properties    | OCPP            |          | 3198      |
Other Hazards                         | OHAZ            |          | 3306      |
Other Name Segment                    | ONS             |          | 2106      |
Other Occupation Permissible Levels   | OPEL            |          | 3307      |
Other Preventive Measures             | OPRM            |          | 3308      |
Other Reference                       | REN(OREF)       |          | 2556      |
Other Source                          | OS              |          | 2026      |
Overlap Detection Date                | ODD             |          | 3370      |
Page Number                           | PGNO            |          | 2574      |
Patent Application Country            | AC              |          | 2027      |
Patent Application Date               | AD(FD)          |          | 2028      |
